date,gross_equity,net_equity
2021-01-12 00:00:00+00:00,100055.167824494,95502.83610393376
2021-01-13 00:00:00+00:00,100099.74728764259,95545.38728100191
2021-01-14 00:00:00+00:00,100084.65465160472,95530.981332991
2021-01-15 00:00:00+00:00,100068.93658318046,95515.97840865205
2021-01-16 00:00:00+00:00,100058.00185815243,95505.54119411432
2021-01-17 00:00:00+00:00,100016.72449546805,95466.14187782751
2021-01-18 00:00:00+00:00,100007.25540194102,95457.10361117093
2021-01-19 00:00:00+00:00,99993.14132391907,95443.63169853116
2021-01-20 00:00:00+00:00,99997.12982098144,95447.43872608936
2021-01-21 00:00:00+00:00,100004.92705654465,95454.88120133823
2021-01-22 00:00:00+00:00,100043.26420695697,95491.4740797685
2021-01-23 00:00:00+00:00,100063.17593980007,95510.47986427325
2021-01-24 00:00:00+00:00,100052.68881981637,95500.46988954848
2021-01-25 00:00:00+00:00,100035.80257057758,95484.35193453898
2021-01-26 00:00:00+00:00,100046.58854883372,95494.6471700177
2021-01-27 00:00:00+00:00,100021.30671997159,95470.51561928696
2021-01-28 00:00:00+00:00,100058.75395270536,95506.25906970618
2021-01-29 00:00:00+00:00,100083.22386465267,95529.61564429392
2021-01-30 00:00:00+00:00,100074.88088712608,95521.65225736784
2021-01-31 00:00:00+00:00,100041.77902653324,95490.0564724057
2021-02-01 00:00:00+00:00,100069.7207154387,95516.72686429076
2021-02-02 00:00:00+00:00,100068.43615972604,95515.50075357246
2021-02-03 00:00:00+00:00,100094.0679503494,95539.9663434283
2021-02-04 00:00:00+00:00,100063.32874785982,95510.62571983875
2021-02-05 00:00:00+00:00,100052.39437357745,95500.18884008839
2021-02-06 00:00:00+00:00,100053.49390534394,95501.23834512016
2021-02-07 00:00:00+00:00,100055.42413891126,95503.0807565021
2021-02-08 00:00:00+00:00,100047.46151698664,95495.48041967633
2021-02-09 00:00:00+00:00,100060.85344907086,95508.26304273082
2021-02-10 00:00:00+00:00,100040.59944736466,95488.9305619859
2021-02-11 00:00:00+00:00,100038.76079103148,95487.17556123725
2021-02-12 00:00:00+00:00,100042.15023557848,95490.4107921013
2021-02-13 00:00:00+00:00,100053.38442936819,95501.1338501061
2021-02-14 00:00:00+00:00,100068.5430765365,95515.6028058587
2021-02-15 00:00:00+00:00,100047.15415574325,95495.18704282145
2021-02-16 00:00:00+00:00,100017.61539052358,95466.99223874659
2021-02-17 00:00:00+00:00,100044.04053671716,95492.21508790892
